"20","2014-08-01 00:00:00","0","804","2","0","0","21214","0","17"
"20","2014-08-01 00:00:00","5008","804","2","0","0","21214","0","1704"
"20","2014-08-01 00:00:00","5008","804","2","0","0","21214","0","170490"
"20","2014-10-01 00:00:00","0","804","1","0","0","351","0","83"
"20","2014-10-01 00:00:00","4","804","1","0","0","351","0","8308"
"20","2014-10-01 00:00:00","4","804","1","0","0","351","0","830890"
"20","2014-10-01 00:00:00","0","804","1","0","0","2980","0","96"
"20","2014-10-01 00:00:00","7","804","1","0","0","2980","0","9606"
"20","2014-10-01 00:00:00","7","804","1","0","0","2980","0","960629"
"20","2014-09-01 00:00:00","0","804","1","0","0","2173","0","99"
"20","2014-09-01 00:00:00","0","804","1","0","0","2173","0","9999"
"20","2014-09-01 00:00:00","0","804","1","0","0","2173","0","999999"
"20","2014-09-01 00:00:00","0","804","1","0","0","2173","0","TOTAL"
"20","2014-08-01 00:00:00","0","804","2","0","0","21214","0","TOTAL"
"20","2014-10-01 00:00:00","0","804","1","0","0","3331","0","TOTAL"
